mileage,age_years,brand,engine_type,price
107440,11,Ford,Electric,10776.41
102325,4,Toyota,Diesel,14844.31
69889,14,BMW,Diesel,14685.13
28016,6,Hyundai,Electric,19120.05
76536,12,Hyundai,Electric,10336.3
101547,0,BMW,Hybrid,22992.08
56534,9,Ford,Electric,14775.57
40257,6,Hyundai,Hybrid,19034.86
76469,6,Ford,Hybrid,15322.56
53927,3,Toyota,Petrol,17550.64
60676,14,Hyundai,Diesel,11113.36
52980,5,Honda,Diesel,16359.13
46216,12,Hyundai,Petrol,12959.76
107796,6,Honda,Petrol,13745.24
69576,0,Hyundai,Hybrid,19629.39
70509,13,Ford,Diesel,9544.26
98309,2,Ford,Petrol,17264.59
54833,4,Honda,Diesel,18285.3
16054,12,Hyundai,Diesel,14803.74
128040,13,Toyota,Petrol,7662.72
9300,13,Ford,Petrol,14311.23
86220,6,Honda,Hybrid,16226.41
40607,11,Ford,Hybrid,12332.58
32860,4,Honda,Diesel,19117.87
7251,11,BMW,Electric,18860.45
135113,7,Honda,Hybrid,12993.23
64951,0,Toyota,Hybrid,21326.94
52054,6,Toyota,Petrol,14750.67
111443,7,BMW,Hybrid,18184.99
6807,3,Honda,Petrol,21178.41
85118,5,Honda,Petrol,18634.91
74695,7,BMW,Diesel,18621.92
83462,0,Honda,Electric,19097.28
19466,2,Honda,Petrol,23758.66
142928,11,Honda,Diesel,10681.72
36531,5,Honda,Diesel,18279.47
102089,9,BMW,Diesel,16937.05
112319,8,Ford,Hybrid,12723.53
52253,8,Hyundai,Diesel,12694.83
20482,6,BMW,Petrol,21942.47
45203,7,Toyota,Petrol,16802.97
121234,12,Honda,Petrol,11198.17
136067,14,Honda,Petrol,6473.77
140599,3,Ford,Electric,14691.17
34720,10,Honda,Diesel,16624.55
91373,14,Hyundai,Diesel,11259.61
23504,0,Honda,Hybrid,23132.58
106843,11,Ford,Electric,9837.65
62964,7,Toyota,Petrol,18438.27
107324,14,Hyundai,Diesel,6107.16
103083,8,Hyundai,Diesel,14178.95
148928,12,BMW,Hybrid,11731.62
