city,date,temperature
Chennai,2025-03-26,31.3
Chennai,2025-03-27,31.9
Chennai,2025-03-28,27.2
Chennai,2025-03-29,32.9
Chennai,2025-03-30,28.5
Chennai,2025-03-31,28.9
Chennai,2025-04-01,32.4
Chennai,2025-04-02,23.5
Chennai,2025-04-03,36.4
Chennai,2025-04-04,30.7
Chennai,2025-04-05,35.1
Chennai,2025-04-06,25.7
Chennai,2025-04-07,26.3
Chennai,2025-04-08,25.4
Chennai,2025-04-09,31.0
Chennai,2025-04-10,30.3
Chennai,2025-04-11,28.1
Chennai,2025-04-12,25.9
Chennai,2025-04-13,24.9
Chennai,2025-04-14,29.8
Chennai,2025-04-15,28.1
Chennai,2025-04-16,27.3
Chennai,2025-04-17,36.2
Chennai,2025-04-18,29.7
Chennai,2025-04-19,35.1
Chennai,2025-04-20,27.9
Chennai,2025-04-21,31.0
Chennai,2025-04-22,29.8
Chennai,2025-04-23,23.2
Chennai,2025-04-24,35.7
Chennai,2025-04-25,29.5
Chennai,2025-04-26,33.0
Chennai,2025-04-27,27.0
Chennai,2025-04-28,29.3
Chennai,2025-04-29,26.5
Chennai,2025-04-30,34.9
Delhi,2025-01-01,28.1
Delhi,2025-01-02,28.7
Delhi,2025-01-03,38.6
Delhi,2025-01-04,36.6
Delhi,2025-01-05,32.7
Delhi,2025-01-06,10.8
Delhi,2025-01-07,18.0
Delhi,2025-01-08,15.0
Delhi,2025-01-09,32.3
Delhi,2025-01-10,26.7
Delhi,2025-01-11,11.1
Delhi,2025-01-12,23.1
Delhi,2025-01-13,10.1
Delhi,2025-01-14,24.5
Delhi,2025-01-15,8.4
Delhi,2025-01-16,30.3
Delhi,2025-01-17,28.8
Delhi,2025-01-18,44.1
Delhi,2025-01-19,33.5
Delhi,2025-01-20,20.8
Delhi,2025-01-21,33.2
Delhi,2025-01-22,11.0
Delhi,2025-01-23,15.4
Delhi,2025-01-24,28.3
Delhi,2025-01-25,3.4
Delhi,2025-01-26,24.6
Delhi,2025-01-27,14.8
Delhi,2025-01-28,26.0
Delhi,2025-01-29,14.2
Delhi,2025-01-30,29.2
Delhi,2025-01-31,25.2
Delhi,2025-02-01,39.0
Delhi,2025-02-02,25.1
Delhi,2025-02-03,17.3
Delhi,2025-02-04,22.5
Delhi,2025-02-05,11.6
Delhi,2025-02-06,29.1
Delhi,2025-02-07,30.9
Delhi,2025-02-08,49.7
Delhi,2025-02-09,18.8
Delhi,2025-02-10,22.3
Delhi,2025-02-11,19.2
Delhi,2025-02-12,27.1
Delhi,2025-02-13,28.8
Delhi,2025-02-14,24.5
Delhi,2025-02-15,35.9
Delhi,2025-02-16,18.8
Delhi,2025-02-17,34.9
Delhi,2025-02-18,30.4
Delhi,2025-02-19,24.9
Delhi,2025-02-20,21.9
Delhi,2025-02-21,49.3
Delhi,2025-02-22,16.8
Delhi,2025-02-23,28.0
Delhi,2025-02-24,17.5
Delhi,2025-02-25,42.9
Delhi,2025-02-26,33.9
Delhi,2025-02-27,18.2
Delhi,2025-02-28,30.1
Delhi,2025-03-01,27.6
Delhi,2025-03-02,19.8
Delhi,2025-03-03,32.6
Delhi,2025-03-04,28.9
Delhi,2025-03-05,27.2
Delhi,2025-03-06,24.6
Delhi,2025-03-07,29.3
Delhi,2025-03-08,27.3
Delhi,2025-03-09,25.6
Delhi,2025-03-10,18.6
Delhi,2025-03-11,41.9
Delhi,2025-03-12,14.5
Delhi,2025-03-13,29.3
Delhi,2025-03-14,21.8
Delhi,2025-03-15,42.6
Delhi,2025-03-16,16.0
Delhi,2025-03-17,17.6
Delhi,2025-03-18,15.3
Delhi,2025-03-19,28.2
Delhi,2025-03-20,11.3
Delhi,2025-03-21,20.2
Delhi,2025-03-22,3.5
Delhi,2025-03-23,27.4
Delhi,2025-03-24,20.0
Delhi,2025-03-25,10.1
Delhi,2025-03-26,35.9
Delhi,2025-03-27,11.9
Delhi,2025-03-28,33.0
Delhi,2025-03-29,18.0
Delhi,2025-03-30,41.0
Delhi,2025-03-31,32.5
Delhi,2025-04-01,14.9
Delhi,2025-04-02,15.8
Delhi,2025-04-03,31.1
Delhi,2025-04-04,22.4
Delhi,2025-04-05,23.3
Delhi,2025-04-06,37.7
Delhi,2025-04-07,17.5
Delhi,2025-04-08,25.9
Delhi,2025-04-09,34.5
Delhi,2025-04-10,33.1
Delhi,2025-04-11,23.4
Delhi,2025-04-12,22.1
Delhi,2025-04-13,7.6
Delhi,2025-04-14,14.4
Delhi,2025-04-15,28.2
Delhi,2025-04-16,23.6
Delhi,2025-04-17,25.7
Delhi,2025-04-18,35.4
Delhi,2025-04-19,13.1
Delhi,2025-04-20,22.6
Delhi,2025-04-21,26.9
Delhi,2025-04-22,18.0
Delhi,2025-04-23,39.3
Delhi,2025-04-24,34.1
Delhi,2025-04-25,27.9
Delhi,2025-04-26,42.9
Delhi,2025-04-27,10.0
Delhi,2025-04-28,24.9
Delhi,2025-04-29,28.7
Delhi,2025-04-30,15.9
Mumbai,2025-01-01,28.9
Mumbai,2025-01-02,24.7
Mumbai,2025-01-03,30.1
Mumbai,2025-01-04,31.2
Mumbai,2025-01-05,28.8
Mumbai,2025-01-06,22.4
Mumbai,2025-01-07,25.1
Mumbai,2025-01-08,29.7
Mumbai,2025-01-09,28.1
Mumbai,2025-01-10,19.9
Mumbai,2025-01-11,31.7
Mumbai,2025-01-12,28.4
Mumbai,2025-01-13,25.5
Mumbai,2025-01-14,31.0
Mumbai,2025-01-15,26.0
Mumbai,2025-01-16,25.9
Mumbai,2025-01-17,29.1
Mumbai,2025-01-18,33.3
Mumbai,2025-01-19,32.9
Mumbai,2025-01-20,29.1
Mumbai,2025-01-21,29.4
Mumbai,2025-01-22,30.4
Mumbai,2025-01-23,24.2
Mumbai,2025-01-24,29.9
Mumbai,2025-01-25,25.8
Mumbai,2025-01-26,29.0
Mumbai,2025-01-27,27.3
Mumbai,2025-01-28,29.5
Mumbai,2025-01-29,28.4
Mumbai,2025-01-30,18.8
Mumbai,2025-01-31,28.5
Mumbai,2025-02-01,29.9
Mumbai,2025-02-02,29.3
Mumbai,2025-02-03,27.7
Mumbai,2025-02-04,32.9
Mumbai,2025-02-05,28.9
Mumbai,2025-02-06,29.3
Mumbai,2025-02-07,31.1
Mumbai,2025-02-08,29.1
Mumbai,2025-02-09,25.3
Mumbai,2025-02-10,20.7
Mumbai,2025-02-11,26.6
Mumbai,2025-02-12,30.3
Mumbai,2025-02-13,26.9
Mumbai,2025-02-14,30.4
Mumbai,2025-02-15,28.4
Mumbai,2025-02-16,31.9
Mumbai,2025-02-17,27.1
Mumbai,2025-02-18,29.4
Mumbai,2025-02-19,29.5
Mumbai,2025-02-20,32.5
Mumbai,2025-02-21,22.9
Mumbai,2025-02-22,26.6
Mumbai,2025-02-23,30.5
Mumbai,2025-02-24,32.6
Mumbai,2025-02-25,28.7
Mumbai,2025-02-26,27.1
Mumbai,2025-02-27,30.3
Mumbai,2025-02-28,30.6
Mumbai,2025-03-01,26.9
Mumbai,2025-03-02,29.0
Mumbai,2025-03-03,31.5
Mumbai,2025-03-04,33.7
Mumbai,2025-03-05,30.2
Mumbai,2025-03-06,28.1
Mumbai,2025-03-07,27.8
Mumbai,2025-03-08,29.7
Mumbai,2025-03-09,27.7
Mumbai,2025-03-10,28.6
Mumbai,2025-03-11,24.8
Mumbai,2025-03-12,31.9
Mumbai,2025-03-13,24.6
Mumbai,2025-03-14,26.7
Mumbai,2025-03-15,28.3
Mumbai,2025-03-16,34.0
Mumbai,2025-03-17,26.7
Mumbai,2025-03-18,26.0
Mumbai,2025-03-19,26.3
Mumbai,2025-03-20,33.0
Mumbai,2025-03-21,19.6
Mumbai,2025-03-22,25.0
Mumbai,2025-03-23,36.2
Mumbai,2025-03-24,29.8
Mumbai,2025-03-25,24.7
Mumbai,2025-03-26,27.9
Mumbai,2025-03-27,28.2
Mumbai,2025-03-28,30.5
Mumbai,2025-03-29,33.5
Mumbai,2025-03-30,29.2
Mumbai,2025-03-31,26.4
Mumbai,2025-04-01,30.4
Mumbai,2025-04-02,25.9
Mumbai,2025-04-03,24.9
Mumbai,2025-04-04,22.7
Mumbai,2025-04-05,23.3
Mumbai,2025-04-06,25.3
Mumbai,2025-04-07,24.5
Mumbai,2025-04-08,28.9
Mumbai,2025-04-09,24.4
Mumbai,2025-04-10,18.6
Mumbai,2025-04-11,24.9
Mumbai,2025-04-12,26.6
Mumbai,2025-04-13,26.2
Mumbai,2025-04-14,32.6
Mumbai,2025-04-15,26.2
Mumbai,2025-04-16,30.6
Mumbai,2025-04-17,27.9
Mumbai,2025-04-18,27.9
Mumbai,2025-04-19,25.5
Mumbai,2025-04-20,27.8
Mumbai,2025-04-21,25.7
Mumbai,2025-04-22,28.5
Mumbai,2025-04-23,27.3
Mumbai,2025-04-24,25.2
Mumbai,2025-04-25,31.0
Mumbai,2025-04-26,29.3
Mumbai,2025-04-27,26.7
Mumbai,2025-04-28,28.4
Mumbai,2025-04-29,27.7
Mumbai,2025-04-30,25.4
Bengaluru,2025-01-01,23.4
Bengaluru,2025-01-02,19.9
Bengaluru,2025-01-03,18.3
Bengaluru,2025-01-04,14.9
Bengaluru,2025-01-05,21.2
Bengaluru,2025-01-06,25.8
Bengaluru,2025-01-07,19.5
Bengaluru,2025-01-08,35.6
Bengaluru,2025-01-09,27.4
Bengaluru,2025-01-10,29.5
Bengaluru,2025-01-11,27.0
Bengaluru,2025-01-12,32.3
Bengaluru,2025-01-13,19.1
Bengaluru,2025-01-14,10.2
Bengaluru,2025-01-15,20.8
Bengaluru,2025-01-16,25.8
Bengaluru,2025-01-17,23.8
Bengaluru,2025-01-18,24.4
Bengaluru,2025-01-19,29.6
Bengaluru,2025-01-20,24.9
Bengaluru,2025-01-21,27.0
Bengaluru,2025-01-22,18.3
Bengaluru,2025-01-23,17.5
Bengaluru,2025-01-24,31.1
Bengaluru,2025-01-25,23.5
Bengaluru,2025-01-26,19.9
Bengaluru,2025-01-27,19.9
Bengaluru,2025-01-28,19.8
Bengaluru,2025-01-29,19.5
Bengaluru,2025-01-30,16.6
Bengaluru,2025-01-31,15.5
Bengaluru,2025-02-01,22.0
Bengaluru,2025-02-02,20.0
Bengaluru,2025-02-03,28.5
Bengaluru,2025-02-04,24.5
Bengaluru,2025-02-05,24.3
Bengaluru,2025-02-06,19.3
Bengaluru,2025-02-07,22.4
Bengaluru,2025-02-08,24.8
Bengaluru,2025-02-09,26.6
Bengaluru,2025-02-10,22.5
Bengaluru,2025-02-11,28.4
Bengaluru,2025-02-12,23.0
Bengaluru,2025-02-13,27.0
Bengaluru,2025-02-14,20.6
Bengaluru,2025-02-15,13.9
Bengaluru,2025-02-16,24.3
Bengaluru,2025-02-17,26.6
Bengaluru,2025-02-18,25.9
Bengaluru,2025-02-19,25.1
Bengaluru,2025-02-20,21.3
Bengaluru,2025-02-21,19.0
Bengaluru,2025-02-22,25.8
Bengaluru,2025-02-23,25.1
Bengaluru,2025-02-24,20.2
Bengaluru,2025-02-25,28.5
Bengaluru,2025-02-26,18.6
Bengaluru,2025-02-27,20.1
Bengaluru,2025-02-28,31.2
Bengaluru,2025-03-01,27.3
Bengaluru,2025-03-02,21.2
Bengaluru,2025-03-03,24.4
Bengaluru,2025-03-04,23.8
Bengaluru,2025-03-05,9.3
Bengaluru,2025-03-06,18.5
Bengaluru,2025-03-07,22.7
Bengaluru,2025-03-08,21.2
Bengaluru,2025-03-09,24.2
Bengaluru,2025-03-10,28.6
Bengaluru,2025-03-11,21.4
Bengaluru,2025-03-12,17.7
Bengaluru,2025-03-13,24.6
Bengaluru,2025-03-14,21.4
Bengaluru,2025-03-15,22.2
Bengaluru,2025-03-16,21.5
Bengaluru,2025-03-17,34.2
Bengaluru,2025-03-18,11.8
Bengaluru,2025-03-19,21.1
Bengaluru,2025-03-20,23.0
Bengaluru,2025-03-21,19.1
Bengaluru,2025-03-22,27.5
Bengaluru,2025-03-23,27.1
Bengaluru,2025-03-24,22.8
Bengaluru,2025-03-25,21.6
Bengaluru,2025-03-26,22.4
Bengaluru,2025-03-27,22.5
Bengaluru,2025-03-28,22.6
Bengaluru,2025-03-29,22.1
Bengaluru,2025-03-30,24.3
Bengaluru,2025-03-31,26.8
Bengaluru,2025-04-01,16.8
Bengaluru,2025-04-02,17.7
Bengaluru,2025-04-03,14.3
Bengaluru,2025-04-04,27.3
Bengaluru,2025-04-05,24.3
Bengaluru,2025-04-06,25.5
Bengaluru,2025-04-07,15.9
Bengaluru,2025-04-08,31.9
Bengaluru,2025-04-09,20.0
Bengaluru,2025-04-10,23.8
Bengaluru,2025-04-11,27.3
Bengaluru,2025-04-12,18.1
Bengaluru,2025-04-13,20.3
Bengaluru,2025-04-14,23.9
Bengaluru,2025-04-15,37.3
Bengaluru,2025-04-16,24.5
Bengaluru,2025-04-17,31.0
Bengaluru,2025-04-18,29.0
Bengaluru,2025-04-19,24.8
Bengaluru,2025-04-20,18.1
Bengaluru,2025-04-21,28.3
Bengaluru,2025-04-22,15.5
Bengaluru,2025-04-23,31.0
Bengaluru,2025-04-24,24.0
Bengaluru,2025-04-25,9.7
Bengaluru,2025-04-26,21.3
Bengaluru,2025-04-27,26.3
Bengaluru,2025-04-28,21.8
Bengaluru,2025-04-29,26.6
Bengaluru,2025-04-30,18.7
